Date,Open,High,Low,Close
09/05/2024,"41,056.33","41,084.78","40,519.08","40,755.75"
09/04/2024,"40,872.06","41,172.59","40,840.89","40,974.97"
09/03/2024,"41,489.67","41,489.67","40,778.09","40,936.93"
08/30/2024,"41,366.16","41,585.21","41,145.85","41,563.08"
08/29/2024,"41,345.50","41,577.97","41,086.81","41,335.05"
08/28/2024,"41,250.17","41,351.11","40,842.29","41,091.42"
08/27/2024,"41,186.28","41,271.75","41,109.42","41,250.50"
08/26/2024,"41,200.84","41,420.05","41,140.23","41,240.52"
08/23/2024,"40,879.12","41,207.92","40,842.96","41,175.08"
08/22/2024,"40,932.23","41,026.64","40,584.47","40,712.78"
08/21/2024,"40,881.03","40,974.40","40,738.43","40,890.49"
08/20/2024,"40,874.52","40,909.38","40,756.65","40,834.97"
08/19/2024,"40,670.83","40,907.32","40,670.83","40,896.53"
08/16/2024,"40,528.86","40,726.03","40,453.58","40,659.76"
08/15/2024,"40,295.74","40,590.51","40,295.74","40,563.06"
08/14/2024,"39,800.59","40,068.75","39,737.20","40,008.39"
08/13/2024,"39,445.27","39,792.80","39,392.41","39,765.64"
08/12/2024,"39,556.01","39,587.06","39,251.72","39,357.01"
08/09/2024,"39,408.06","39,628.66","39,230.43","39,497.54"
08/08/2024,"38,940.38","39,508.40","38,922.79","39,446.49"
08/07/2024,"39,230.09","39,477.96","38,731.51","38,763.45"
08/06/2024,"38,736.22","39,449.53","38,638.30","38,997.66"
08/05/2024,"39,056.19","39,056.19","38,499.27","38,703.27"
08/02/2024,"40,075.33","40,075.33","39,358.68","39,737.26"
08/01/2024,"40,916.96","41,096.66","40,098.57","40,347.97"
07/31/2024,"40,768.88","41,198.63","40,655.89","40,842.79"
07/30/2024,"40,622.13","40,866.25","40,529.10","40,743.33"
07/29/2024,"40,665.71","40,682.49","40,388.83","40,539.93"
07/26/2024,"40,140.86","40,753.83","40,140.86","40,589.34"
07/25/2024,"39,828.63","40,438.82","39,817.50","39,935.07"
07/24/2024,"40,210.63","40,258.44","39,807.45","39,853.87"
07/23/2024,"40,443.73","40,527.89","40,319.70","40,358.09"
07/22/2024,"40,414.49","40,472.53","40,222.77","40,415.44"
07/19/2024,"40,592.35","40,626.16","40,203.27","40,287.53"
07/18/2024,"41,156.56","41,376.00","40,597.50","40,665.02"
07/17/2024,"40,862.57","41,221.98","40,849.71","41,198.08"
07/16/2024,"40,263.78","40,988.81","40,263.78","40,954.48"
07/15/2024,"40,138.40","40,351.10","40,136.10","40,211.72"
07/12/2024,"39,783.28","40,257.24","39,783.28","40,000.90"
07/11/2024,"39,695.18","39,875.60","39,623.12","39,753.75"
07/10/2024,"39,272.45","39,736.20","39,256.72","39,721.36"
07/09/2024,"39,357.37","39,492.28","39,146.60","39,291.97"
07/08/2024,"39,391.98","39,654.96","39,278.43","39,344.79"
07/05/2024,"39,313.40","39,399.62","39,168.70","39,375.87"
07/03/2024,"39,358.95","39,411.17","39,230.86","39,308.00"
07/02/2024,"39,108.25","39,340.49","39,085.69","39,331.85"
07/01/2024,"39,186.20","39,438.36","39,037.94","39,169.52"
06/28/2024,"39,092.39","39,443.60","38,937.15","39,118.86"
06/27/2024,"39,107.10","39,250.69","39,026.75","39,164.06"
06/26/2024,"39,063.15","39,183.74","38,908.99","39,127.80"
06/25/2024,"39,398.79","39,423.26","38,997.23","39,112.16"
06/24/2024,"39,184.49","39,571.23","39,184.49","39,411.21"
06/21/2024,"39,208.51","39,257.18","39,061.67","39,150.33"
06/20/2024,"38,804.73","39,232.50","38,778.46","39,134.76"
06/18/2024,"38,779.12","38,936.93","38,727.67","38,834.86"
06/17/2024,"38,565.18","38,839.88","38,431.95","38,778.10"
06/14/2024,"38,528.39","38,595.24","38,305.85","38,589.16"
06/13/2024,"38,677.12","38,712.21","38,407.70","38,647.10"
06/12/2024,"38,950.65","39,120.26","38,621.45","38,712.21"
06/11/2024,"38,795.71","38,795.71","38,446.24","38,747.42"
06/10/2024,"38,784.90","38,877.86","38,665.45","38,868.04"
06/07/2024,"38,861.24","39,105.23","38,751.85","38,798.99"
06/06/2024,"38,825.40","39,004.16","38,735.99","38,886.17"
06/05/2024,"38,774.82","38,844.32","38,548.77","38,807.33"
06/04/2024,"38,518.86","38,786.62","38,397.82","38,711.29"
06/03/2024,"38,709.99","38,735.61","38,247.22","38,571.03"
05/31/2024,"38,140.26","38,719.43","38,092.27","38,686.32"
05/30/2024,"38,368.35","38,493.60","38,000.96","38,111.48"
05/29/2024,"38,716.28","38,716.28","38,413.67","38,441.54"
05/28/2024,"39,028.99","39,028.99","38,706.14","38,852.86"
05/24/2024,"39,089.23","39,220.31","39,020.29","39,069.59"
05/23/2024,"39,694.95","39,694.95","39,025.51","39,065.26"
05/22/2024,"39,863.33","39,890.91","39,559.09","39,671.04"
05/21/2024,"39,804.40","39,905.80","39,778.73","39,872.99"
05/20/2024,"39,989.76","40,077.40","39,787.09","39,806.77"
05/17/2024,"39,911.72","40,010.88","39,858.86","40,003.59"
05/16/2024,"39,912.34","40,051.05","39,864.68","39,869.38"
05/15/2024,"39,615.10","39,935.04","39,615.10","39,908.00"
05/14/2024,"39,466.76","39,616.41","39,371.92","39,558.11"
05/13/2024,"39,591.28","39,647.39","39,403.05","39,431.51"
05/10/2024,"39,466.52","39,579.88","39,406.26","39,512.84"
05/09/2024,"39,064.27","39,413.66","38,988.85","39,387.76"
05/08/2024,"38,818.90","39,094.74","38,814.99","39,056.39"
05/07/2024,"38,858.94","38,977.61","38,840.40","38,884.26"
05/06/2024,"38,762.43","38,886.47","38,689.38","38,852.27"
05/03/2024,"38,709.36","38,808.52","38,518.28","38,675.68"
05/02/2024,"38,075.65","38,295.29","37,895.66","38,225.66"
05/01/2024,"37,845.56","38,349.20","37,780.54","37,903.29"
04/30/2024,"38,337.40","38,337.40","37,810.12","37,815.92"
04/29/2024,"38,282.16","38,406.20","38,215.47","38,386.09"
04/26/2024,"38,114.70","38,337.64","38,065.05","38,239.66"
04/25/2024,"38,052.09","38,157.22","37,754.38","38,085.80"
04/24/2024,"38,552.79","38,552.79","38,310.55","38,460.92"
04/23/2024,"38,356.07","38,561.50","38,297.72","38,503.69"
04/22/2024,"38,116.89","38,447.16","37,985.07","38,239.98"
04/19/2024,"37,801.98","38,102.57","37,781.61","37,986.40"
04/18/2024,"37,847.21","38,083.76","37,681.52","37,775.38"
04/17/2024,"37,949.67","38,036.70","37,611.56","37,753.31"
04/16/2024,"37,992.22","37,992.22","37,713.70","37,798.97"
04/15/2024,"38,075.38","38,386.81","37,657.79","37,735.11"
04/12/2024,"38,319.14","38,319.14","37,877.30","37,983.24"
04/11/2024,"38,523.26","38,598.98","38,197.28","38,459.08"
